"Testvector";"Feature Group";"Feature";"Testcase";"URL";"Play";"description";"source";"profile";"duration";"mpd_type";"min_update_period";"time_shift_buffer_depth";"num_periods";"max_num_video";"max_num_audio";"multi_resolution_video";"max_video_resolution";"mime_types";"video_codec";"audio_codec";"segment_template";"segment_template_number";"segment_template_time";"segment_template_duration";"segment_timeline";"content_protection_schemeid_uri";"cenc_pssh";"essential_property_schemeid_uri";"base_url";"segment_template_presentation_timeoffset";"urn_mpeg_dash_period_continuity_2014";"utc_timing_schemeid_uri";"inband_event_stream_schemeid_uri";"early_terminated_period";"period_xlink_href";"period_xlink_actuate";"default_content";"asset_identifier";"Bit Depth"
"PlayReady and Widevine	 - 1080p variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_1080p.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_1080p.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"3";"1";"";"1920x1080";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,hev1.2.4.L63.90,hev1.2.4.L90.90,avc1.640032,avc1.640033,hev1.2.4.L93.90,hev1.2.4.L120.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	 - 4k variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"3";"1";"";"3840x2160";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,hev1.2.4.L63.90,hev1.2.4.L90.90,avc1.640032,avc1.640033,hev1.2.4.L93.90,hev1.2.4.L120.90,avc1.640034,hev1.2.4.L150.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- 1080p variant";"DRM content";"DRM protected content.";"MultiDRM-SingleKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest_1080p.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest_1080p.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"5";"1";"";"1920x1080";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,avc1.640032,avc1.640033,hev1.2.4.L63.90,hev1.2.4.L90.90,hev1.2.4.L93.90,hev1.2.4.L120.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- 1080p variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey-MultiPeriod";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest_1080p.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest_1080p.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H24M28.000S";"static";"x";"x";"2";"3";"1";"";"1920x1080";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,hev1.2.4.L63.90,hev1.2.4.L90.90,avc1.640032,avc1.640033,hev1.2.4.L93.90,hev1.2.4.L120.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- 4k variant";"DRM content";"DRM protected content.";"MultiDRM-SingleKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"7";"1";"";"3840x2160";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,avc1.640032,avc1.640033,avc1.640034,hev1.2.4.L63.90,hev1.2.4.L90.90,hev1.2.4.L93.90,hev1.2.4.L120.90,hev1.2.4.L150.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- 4k variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey-MultiPeriod";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H24M28.000S";"static";"x";"x";"2";"3";"1";"";"3840x2160";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,hev1.2.4.L63.90,hev1.2.4.L90.90,avc1.640032,avc1.640033,hev1.2.4.L93.90,hev1.2.4.L120.90,avc1.640034,hev1.2.4.L150.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- Audio only variant";"DRM content";"DRM protected content.";"MultiDRM-SingleKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest_AudioOnly.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-SingleKey/Manifest_AudioOnly.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"0";"1";"";"x";"audio/mp4";"x";"mp4a.40.29";"yes";"no";"no";"95232";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- audio only variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_AudioOnly.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_AudioOnly.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"0";"1";"";"x";"audio/mp4";"x";"mp4a.40.29";"yes";"no";"no";"95232";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"PlayReady and Widevine	- audio only variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey-MultiPeriod";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest_AudioOnly.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey-MultiPeriod/Manifest_AudioOnly.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H24M28.000S";"static";"x";"x";"2";"0";"1";"";"x";"audio/mp4";"x";"mp4a.40.29";"yes";"no";"no";"95232";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:9a04f079-9840-4286-ab92-e65be0885f95,urn:uuid:edef8ba9-79d6-4ace-a3c8-27dcd51d21ed";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"W3C Clear Key - 1080p variant";"DRM content";"DRM protected content.";"MultiDRM-MultiKey";"https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_1080p_ClearKey.mpd";"""https://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=https://media.axprod.net/TestVectors/v7-MultiDRM-MultiKey/Manifest_1080p_ClearKey.mpd""";"For description see, https://github.com/Axinom/dash-test-vectors.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.000S";"static";"x";"x";"1";"3";"1";"";"1920x1080";"video/mp4,audio/mp4,application/mp4";"avc1.64001f,avc1.640028,hev1.2.4.L63.90,hev1.2.4.L90.90,avc1.640032,avc1.640033,hev1.2.4.L93.90,hev1.2.4.L120.90";"mp4a.40.29";"yes";"no";"no";"96,4799983,95232,4000";"";"urn:mpeg:dash:mp4protection:2011,urn:uuid:e2719d58-a985-b3c9-781a-b030af78d30e";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
